,INCIDENT_TYPE,HUNDRED_BLOCK,MONTH,YEAR
3847,Fatal/Injury Collision,16TH AVE / 128TH ST,1,2012
3848,Fatal/Injury Collision,128TH ST / 56TH AVE,1,2012
3849,Fatal/Injury Collision,102ND AVE / 164TH ST,1,2012
3850,Fatal/Injury Collision,72ND AVE / 123RD ST,1,2012
3851,Fatal/Injury Collision,168TH ST / 60TH AVE,1,2012
3852,Fatal/Injury Collision,128TH ST / 76TH AVE,1,2012
3853,Fatal/Injury Collision,64TH AVE / 152ND ST,1,2012
3854,Fatal/Injury Collision,80TH AVE / KING GEORGE BLVD,1,2012
3855,Fatal/Injury Collision,126TH ST / 91ST AVE,1,2012
3856,Fatal/Injury Collision,80TH AVE / 132ND ST,1,2012
3857,Fatal/Injury Collision,24TH AVE / 160TH ST,1,2012
3858,Fatal/Injury Collision,64TH AVE / KING GEORGE BLVD,1,2012
3859,Fatal/Injury Collision,96TH AVE / 140TH ST,1,2012
3860,Fatal/Injury Collision,76TH AVE / 130TH ST,1,2012
3861,Fatal/Injury Collision,120TH ST / MALL ACCESS,1,2012
3862,Fatal/Injury Collision,72ND AVE / 122A ST,1,2012
3863,Fatal/Injury Collision,KING GEORGE BLVD / 105A AVE,1,2012
3864,Fatal/Injury Collision,128TH ST / 72ND AVE,1,2012
3865,Fatal/Injury Collision,156TH ST / 104TH AVE,1,2012
3866,Fatal/Injury Collision,76TH AVE / 145TH ST,1,2012
3867,Fatal/Injury Collision,110TH AVE / SCOTT RD,1,2012
3868,Fatal/Injury Collision,176TH ST / 56TH AVE,1,2012
3869,Fatal/Injury Collision,135A ST / 113TH AVE,1,2012
3870,Fatal/Injury Collision,140TH ST / 89TH AVE,1,2012
3871,Fatal/Injury Collision,140TH ST / 72ND AVE,1,2012
3872,Fatal/Injury Collision,132ND ST / 92ND AVE,1,2012
3873,Fatal/Injury Collision,176TH ST / 88TH AVE,1,2012
3874,Fatal/Injury Collision,KING GEORGE BLVD / 64TH AVE,1,2012
3875,Fatal/Injury Collision,150TH ST / 104TH AVE,1,2012
3876,Fatal/Injury Collision,56TH AVE / KING GEORGE BLVD,1,2012
3877,Fatal/Injury Collision,72ND AVE / 132ND ST,1,2012
3878,Fatal/Injury Collision,132ND ST / 88TH AVE,1,2012
3879,Fatal/Injury Collision,102A AVE / 152ND ST,1,2012
3880,Fatal/Injury Collision,108TH AVE / WHALLEY BLVD,1,2012
3881,Fatal/Injury Collision,64TH AVE / 128TH ST,1,2012
3882,Fatal/Injury Collision,60TH AVE / 184TH ST,1,2012
3883,Fatal/Injury Collision,140TH ST / 90TH AVE,1,2012
3884,Fatal/Injury Collision,164TH ST / 84TH AVE,1,2012
3885,Fatal/Injury Collision,84TH AVE / 132ND ST,1,2012
3886,Fatal/Injury Collision,KING GEORGE BLVD / 68TH AVE,1,2012
